""	"V1"	"V2"
"cg13327545"	"100"	""
"cg10804656"	"55.3609547418892"	""
"cg11084334"	"55.1816285827205"	"LHFPL4"
"cg20273670"	"42.2721401890922"	""
"cg21475150"	"39.8617396914743"	"RPL31;RPL31;RPL31"
"cg23078123"	"35.2970453408488"	"GPR177"
"cg22809047"	"34.5631974594574"	"RPL31;RPL31;RPL31"
"cg20168514"	"33.0789197523385"	"FMO4"
"cg23934731"	"28.2905728264333"	""
"cg05923226"	"24.6188813281597"	"CCDC105"
"cg20468883"	"23.8029573274741"	"BNIP2"
"cg00588517"	"23.7353899999379"	"C2;C2;C2;C2"
"cg24854435"	"23.3678300980595"	"LOC388692"
"cg20052760"	"22.4529571768901"	""
"cg00590500"	"22.3788624882564"	"DTYMK;DTYMK;DTYMK"
"cg13425135"	"21.8659836981731"	"RXRA"
"cg27298254"	"21.6403654685392"	"CORO2B"
"cg15235074"	"21.3582324833368"	"PDK2"
"cg23424125"	"20.5657172895365"	"DLGAP2"
"cg22830273"	"20.0141393465903"	"LRP1B"
"cg00833394"	"19.3773699236776"	"RALGPS2"
"cg21016177"	"18.9651919242611"	"EXOC7;EXOC7;EXOC7;EXOC7;EXOC7;EXOC7"
"cg10447539"	"18.3840007278762"	"ARHGAP27;ARHGAP27"
"cg11338156"	"18.1054712927014"	""
"cg07759206"	"17.8953437149078"	"LOC113230"
"cg02882813"	"17.5660969202439"	"CST5"
"cg22016779"	"17.459194381152"	"DNER"
"cg10605137"	"17.1466441459198"	"SLC26A10"
"cg17765085"	"15.6510576535521"	"HPS1;HPS1"
"cg01255850"	"15.6284662963858"	""
"cg01183586"	"15.587945995822"	""
"cg00103778"	"15.5109552240594"	""
"cg09232937"	"15.3715743051527"	"IRX1"
"cg09680447"	"15.0260597074686"	""
"cg01243823"	"14.6403836709074"	"NOD2"
"cg18122392"	"14.0859701811029"	"CNGA3;CNGA3"
"cg07214314"	"14.0686976822214"	"IGF2R"
"cg01116134"	"13.7499893527597"	"GGTLC1"
