""	"V1"	"V2"
"cg08097417"	"100"	"KLF14"
"cg10804656"	"87.6021035004169"	""
"cg13783238"	"54.7871965737736"	"SMC4;MIR15B;SMC4;MIR16-2"
"cg23078123"	"53.4931258182297"	"GPR177"
"cg09809672"	"52.2115834494564"	"EDARADD;EDARADD;EDARADD"
"cg06493994"	"50.2298994028024"	"SCGN;SCGN"
"cg22211507"	"45.7871319703937"	"TRAT1"
"cg08468689"	"43.9567195949749"	"GHDC;GHDC;GHDC;GHDC"
"cg22218447"	"42.9066864766204"	""
"cg14674720"	"42.653439185693"	""
"cg12192408"	"41.798661297889"	""
"cg20721738"	"40.4534190210546"	"RAB36"
"cg16541931"	"37.8706233556311"	"LOC100128811;GPR158"
"cg05106770"	"36.2015456006665"	""
"cg13327545"	"33.5130982159101"	""
"cg25703567"	"31.6787392714141"	"MCM3"
"cg14292522"	"31.3874347188026"	"UHRF1BP1L;UHRF1BP1L"
"cg24762932"	"31.2441970838564"	""
"cg25771195"	"30.6688638615842"	"C16orf80"
"cg05765011"	"30.2259448114843"	"ADCY9"
"cg11655243"	"29.9261711354187"	"PCDHGA4;PCDHGB5;PCDHGA6;PCDHGA1;PCDHGA8;PCDHGA5;PCDHGB1;PCDHGB5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB3"
"cg24287239"	"28.8747322103953"	"TNFSF11;TNFSF11"
"cg19560758"	"28.7549705625918"	"ERRFI1"
"cg20308540"	"28.5024663833382"	"PLD5"
"cg15447787"	"28.0462862274695"	""
"cg03743982"	"27.8154854332505"	"LDHD;LDHD"
"cg18675097"	"27.4936554593019"	"NKAPL;NKAPL"
"cg26842024"	"27.4249474589187"	"KLF2"
"cg22358580"	"27.2764728737229"	"HOXC4;HOXC5;HOXC5"
"cg19283806"	"27.0400654202139"	"CCDC102B"
"cg20704442"	"26.8649240999704"	"MIR548F5;NBEA"
"cg17451176"	"26.8440070790631"	"PCDHGA4;PCDHGA2;PCDHGB2;PCDHGA5;PCDHGA1;PCDHGB1;PCDHGA5;PCDHGA3"
"cg12016437"	"26.6639652934027"	"ZNF518B"
"cg12937151"	"26.2630786096366"	""
"cg03615565"	"25.9382432545282"	"FAM65A"
"cg16614288"	"25.765627915719"	"SLC27A1"
"cg22331349"	"25.5089507848383"	"ZNF577;ZNF577;ZNF577"
"cg05915866"	"25.5034487779197"	"ZFHX3"
"cg04194821"	"25.1790749804676"	"EGLN3"
"cg08628006"	"25.0252317160492"	""
"cg16622061"	"24.5205831596813"	""
"cg08160331"	"24.4875126886698"	"KLHL35"
"cg13007843"	"24.0878225180414"	""
"cg06971773"	"23.9807386034668"	"TACR2"
"cg19265972"	"23.4398320293817"	"ASGR1"
"cg23694113"	"23.43935750121"	"HLA-J;NCRNA00171"
"cg25047092"	"23.3377514948115"	""
"cg05637351"	"23.242829759135"	"CDH7;CDH7"
"cg26581729"	"23.2106479048014"	"NPDC1"
"cg12128614"	"22.893157777062"	"SNPH"
"cg18473521"	"22.8187911015932"	"HOXC4;HOXC4"
"cg08128734"	"22.7906874773689"	"RASSF5;RASSF5"
"cg09559780"	"22.7784028657652"	""
"cg18651026"	"22.4713410298566"	"COL11A2;COL11A2;COL11A2"
"cg17621438"	"21.9249485355911"	"RNF180;RNF180"
"cg17835678"	"21.4874224703837"	"HLA-L"
"cg15423212"	"21.1178464997696"	""
"cg19233663"	"21.0996199175411"	""
"cg21989425"	"20.7990997513727"	""
"cg05139788"	"20.7157222470214"	"TFAP2D"
"cg06532163"	"20.488889145101"	""
"cg15649236"	"20.2070847494745"	"MIR10A"
"cg13378934"	"19.8661565913854"	"MEIS3;MEIS3"
"cg23197460"	"19.8566821857954"	"SMARCA5"
"cg27182476"	"19.8468972847342"	""
"cg13795986"	"19.7205078481294"	"RIT1"
"cg21922223"	"19.6899075500549"	""
"cg09391066"	"19.5429400700383"	""
"cg01526474"	"19.5326206233594"	""
"cg20273670"	"19.4236534262189"	""
"cg08877960"	"19.3914890780549"	"GPR153"
"cg23605843"	"19.2494117129198"	""
"cg03877267"	"19.2227223272224"	""
"cg15277914"	"19.1606321063732"	"DHX36;DHX36"
"cg00812009"	"19.144088319356"	""
"cg25037777"	"19.1090478591431"	""
"cg08468401"	"19.0646433234253"	""
"cg20468883"	"18.7361214180981"	"BNIP2"
"cg06807397"	"18.7202009348133"	"SERP2"
"cg05128922"	"18.4334928042721"	""
"cg22185100"	"18.2426618015142"	""
"cg25057743"	"18.2240329213199"	"PTH2R"
"cg03306221"	"17.9619643896795"	"SULT4A1"
"cg25502086"	"17.897058255574"	"AIFM2"
"cg20818778"	"17.815217016058"	"GNG4;GNG4;GNG4"
"cg21290814"	"17.7024652359304"	"CRTC1;CRTC1"
"cg06879746"	"17.6663953131815"	"VARS2;VARS2;VARS2"
"cg01097384"	"17.6655559573428"	""
"cg16594273"	"17.6011510538551"	""
"cg07838603"	"17.4275819716333"	"ZSCAN23"
"cg02021127"	"17.4033702376628"	"PIP5KL1"
"cg01569660"	"17.3286207910929"	"LOC390594"
"cg10239319"	"17.2375257716519"	"JAKMIP1;JAKMIP1"
"cg06883126"	"16.6256885179188"	""
"cg19904058"	"16.3563599310189"	"LOC619207"
"cg03333330"	"16.0599559780695"	"TFPI2"
"cg03423138"	"16.0327701016329"	""
"cg07502389"	"16.0133296054923"	"NEFM;NEFM"
"IC"	"15.9924772299579"	NA
"cg01243823"	"15.9311194117845"	"NOD2"
"cg22110888"	"15.6894951361527"	"CCDC57"
"cg25795774"	"15.6452889681767"	""
"cg24944820"	"15.5640658789766"	"BEST1;BEST1"
"cg21475150"	"15.3162951727563"	"RPL31;RPL31;RPL31"
"cg25074493"	"15.3027332803654"	""
"cg16367168"	"15.2460977548593"	""
"cg26614073"	"14.8882883867291"	"SCAP"
"cg10236603"	"14.7220399471716"	""
"cg23718736"	"14.5109456059673"	"L3MBTL4"
"cg18898325"	"14.4395208976114"	"WBP2NL"
"cg09726654"	"13.9335005722519"	"GALNT5"
"cg05817709"	"13.8991727306808"	"RARRES3"
"cg17466795"	"13.6998291442518"	"C20orf103"
"cg06794355"	"13.5101782011217"	""
"cg18478319"	"13.4544810029379"	"SLC15A1"
"cg14014225"	"13.4275429724328"	"SLC16A8"
"cg12268575"	"13.4035280511296"	"ASTN1;ASTN1"
